Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-12,78.0,82.0,76.75,78.5,22256,0,0.0
2019-09-13,78.5,80.0,73.75,74.25,20404,0,0.0
2019-09-16,73.5,75.25,71.75,74.75,18668,0,0.0
2019-09-17,75.5,76.5,70.5,73.0,19696,0,0.0
2019-09-18,73.0,82.25,72.25,80.0,35952,0,0.0
2019-09-19,79.75,87.75,78.0,81.0,74276,0,0.0
2019-09-20,80.75,85.0,79.75,81.5,31896,0,0.0
2019-09-23,67.5,78.0,62.75,71.75,90048,0,0.0
2019-09-24,71.25,72.0,66.25,69.0,31320,0,0.0
2019-09-25,69.0,70.0,63.75,64.75,22592,0,0.0
2019-09-26,64.5,65.0,58.25,58.5,14848,0,0.0
2019-09-27,58.25,63.75,58.25,61.5,11156,0,0.0
2019-09-30,61.0,62.5,55.25,56.5,17720,0,0.0
2019-10-01,55.75,58.75,55.75,57.0,8660,0,0.0
2019-10-02,56.75,56.75,51.75,55.5,34120,0,0.0
2019-10-03,55.5,57.5,54.25,56.5,11804,0,0.0
2019-10-04,56.5,58.5,53.75,56.25,30424,0,0.0
2019-10-07,57.0,61.75,56.0,59.5,14736,0,0.0
2019-10-08,59.25,61.25,56.5,57.25,11372,0,0.0
2019-10-09,57.5,59.5,55.0,55.25,8012,0,0.0
2019-10-10,55.5,57.0,53.75,55.0,8360,0,0.0
2019-10-11,55.5,57.75,54.0,56.0,10724,0,0.0
2019-10-14,55.25,56.25,52.0,54.25,8348,0,0.0
2019-10-15,55.5,71.0,55.25,67.75,78776,0,0.0
2019-10-16,68.0,70.5,60.5,61.0,45236,0,0.0
2019-10-17,59.75,62.5,55.25,56.5,28968,0,0.0
2019-10-18,55.5,59.75,52.75,54.25,23388,0,0.0
2019-10-21,54.0,57.5,53.0,56.5,15412,0,0.0
2019-10-22,56.75,61.25,56.75,59.75,14924,0,0.0
2019-10-23,59.75,62.5,57.5,59.75,10968,0,0.0
2019-10-24,60.5,61.0,57.0,57.0,14076,0,0.0
2019-10-25,58.5,64.75,56.0,62.5,26812,0,0.0
2019-10-28,62.25,65.5,58.75,64.25,10888,0,0.0
2019-10-29,63.0,65.25,61.75,62.5,6128,0,0.0
2019-10-30,62.5,64.0,59.5,62.75,8192,0,0.0
2019-10-31,62.5,62.5,58.25,59.25,10144,0,0.0
2019-11-01,60.0,64.75,59.0,63.25,14036,0,0.0
2019-11-04,64.25,68.25,64.0,66.25,8636,0,0.0
2019-11-05,66.25,69.5,65.75,67.0,10180,0,0.0
2019-11-06,67.25,68.0,64.5,65.25,4188,0,0.0
2019-11-07,65.75,68.5,64.5,68.0,6284,0,0.0
2019-11-08,66.75,68.0,64.5,65.75,10656,0,0.0
2019-11-11,66.75,66.75,61.5,62.25,6740,0,0.0
2019-11-12,62.5,64.75,57.0,57.25,13000,0,0.0
2019-11-13,57.5,61.75,55.25,58.25,13708,0,0.0
2019-11-14,60.75,62.5,56.25,56.75,8032,0,0.0
2019-11-15,57.0,60.0,55.75,58.0,7632,0,0.0
2019-11-18,56.75,57.75,55.25,55.75,5916,0,0.0
2019-11-19,55.0,59.25,55.0,58.25,7648,0,0.0
2019-11-20,58.0,62.5,58.0,60.75,9136,0,0.0
2019-11-21,61.0,62.25,58.25,60.5,7140,0,0.0
2019-11-22,59.75,64.75,59.75,64.5,7080,0,0.0
2019-11-25,64.5,75.5,64.25,71.75,35640,0,0.0
2019-11-26,76.0,80.0,69.5,73.25,44144,0,0.0
2019-11-27,73.75,87.75,73.75,85.0,46616,0,0.0
2019-11-29,87.75,95.0,83.0,84.25,28264,0,0.0
2019-12-02,85.75,87.0,77.75,85.25,25052,0,0.0
2019-12-03,93.0,96.0,79.25,81.25,48136,0,0.0
2019-12-04,81.5,82.25,72.75,74.75,46868,0,0.0
2019-12-05,73.0,77.25,68.75,69.0,37964,0,0.0
2019-12-06,70.25,76.0,64.75,75.0,66636,0,0.0
2019-12-09,80.0,85.5,73.0,73.5,148440,0,0.0
2019-12-10,71.75,83.75,68.5,82.0,86224,0,0.0
2019-12-11,84.75,104.5,83.0,100.5,135216,0,0.0
2019-12-12,99.5,101.5,92.5,99.75,64244,0,0.0
2019-12-13,100.0,103.0,90.25,91.25,28588,0,0.0
2019-12-16,92.0,108.5,88.25,105.5,51684,0,0.0
