,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
285,PTL,77.0,0.0,77.4,77.0,77.0,77.0,0.0,82,5.04,65403
286,PUBALIBANK,26.2,-0.38,26.5,26.1,26.1,26.2,-0.1,26,0.11,4023
287,PURABIGEN,26.9,-1.46,27.8,26.9,27.0,27.4,-0.4,76,1.3,48101
288,QUASEMIND,58.4,-0.68,59.3,58.4,58.4,58.8,-0.4,397,21.41,365857
289,QUEENSOUTH,26.0,-5.45,27.7,25.8,26.0,27.5,-1.5,2013,94.09,3518591
290,RAHIMAFOOD,237.7,-0.08,238.8,237.7,237.7,237.9,-0.2,176,6.27,26360
291,RAHIMTEXT,215.5,-1.06,217.8,215.3,215.7,218.0,-2.3,63,0.72,3334
292,RAKCERAMIC,43.2,-1.82,44.3,43.1,43.2,44.0,-0.8,662,26.05,598819
293,RANFOUNDRY,162.7,-0.25,163.5,162.2,162.7,163.1,-0.4,116,2.05,12558
294,RDFOOD,40.3,-3.82,42.0,40.0,40.3,41.9,-1.6,660,31.64,777787
295,RECKITTBEN,4855.8,-0.12,4856.2,4840.1,4850.4,4856.2,-5.8,41,0.71,146
296,REGENTTEX,10.2,-5.56,10.6,10.1,10.2,10.8,-0.6,341,10.36,1006995
297,RELIANCE1,11.0,0.0,11.1,11.0,11.0,11.0,0.0,15,1.91,173798
298,RELIANCINS,56.4,-0.88,59.9,56.4,56.5,57.0,-0.5,49,0.92,16232
299,RENATA,1303.2,-0.1,1310.0,1303.2,1303.2,1304.5,-1.3,252,11.74,9004
300,RENWICKJA,981.6,-0.53,986.0,981.1,981.5,986.7,-5.2,41,0.68,695
301,REPUBLIC,37.5,-1.33,38.0,36.7,37.0,37.5,-0.5,70,1.08,29172
302,RINGSHINE,9.8,-2.0,10.0,9.8,9.8,10.0,-0.2,670,29.21,2956989
303,RNSPIN,6.3,1.59,6.5,6.3,6.4,6.3,0.1,135,1.64,257229
304,ROBI,30.0,0.0,30.0,30.0,30.0,30.0,0.0,131,6.05,201782
305,RSRMSTEEL,17.0,0.0,17.2,17.0,17.0,17.0,0.0,111,2.16,126854
306,RUNNERAUTO,48.8,0.0,49.9,48.7,48.8,48.8,0.0,108,3.44,70481
307,RUPALIBANK,26.2,-1.87,26.5,26.1,26.2,26.7,-0.5,49,0.74,28305
308,RUPALIINS,28.5,-3.39,29.5,27.6,28.5,29.5,-1.0,92,1.08,37702
309,RUPALILIFE,63.2,-1.4,67.0,63.1,63.2,64.1,-0.9,134,4.3,67847
310,SAFKOSPINN,28.3,-2.75,29.2,28.2,28.3,29.1,-0.8,681,28.99,1017146
311,SAIFPOWER,31.2,-2.5,32.4,30.9,31.2,32.0,-0.8,821,39.9,1259953
312,SAIHAMCOT,17.0,-3.95,17.7,16.9,17.0,17.7,-0.7,524,18.79,1095364
313,SAIHAMTEX,24.7,-4.26,25.9,24.6,24.7,25.8,-1.1,693,29.7,1178806
314,SALAMCRST,35.6,5.01,36.4,34.3,35.6,33.9,1.7,955,35.65,996252
315,SALVOCHEM,63.3,-4.52,67.9,63.0,63.3,66.3,-3.0,963,50.15,780336
316,SAMATALETH,70.5,-0.14,71.9,70.5,70.5,70.6,-0.1,97,2.08,29501
317,SAMORITA,72.1,-1.23,73.4,72.0,72.1,73.0,-0.9,274,6.72,92979
318,SANDHANINS,27.0,-2.17,29.2,27.0,27.1,27.7,-0.6,150,2.78,101836
319,SAPORTL,29.4,-3.29,30.9,29.1,29.4,30.4,-1.0,725,25.98,862328
320,SAVAREFR,264.9,-1.16,268.9,262.0,264.9,268.0,-3.1,27,0.53,2005
321,SBACBANK,10.7,-0.93,10.9,10.6,10.7,10.8,-0.1,360,3.72,347936
322,SEAPEARL,55.6,-1.42,59.0,54.9,55.6,56.4,-0.8,2697,269.64,4783180
323,SEMLFBSLGF,8.8,0.0,8.9,8.7,8.8,8.8,0.0,103,4.81,548418
324,SEMLIBBLSF,8.6,-1.14,8.8,8.6,8.7,8.8,-0.1,54,0.64,74084
325,SEMLLECMF,9.1,-1.09,9.4,9.1,9.1,9.2,-0.1,68,1.93,211763
326,SHAHJABANK,19.0,0.0,19.2,18.9,19.0,19.0,0.0,58,3.37,178006
327,SHASHADNIM,28.9,-5.25,30.6,28.6,28.9,30.5,-1.6,699,36.77,1252034
328,SHEPHERD,26.4,-5.04,28.0,25.9,26.4,27.8,-1.4,465,20.42,754235
329,SHURWID,20.7,5.08,21.3,19.6,20.7,19.7,1.0,2042,85.0,4129655
330,SHYAMPSUG,98.2,0.0,98.2,98.2,98.2,98.2,0.0,12,0.14,1385
331,SIBL,12.4,-0.8,12.6,12.4,12.4,12.5,-0.1,93,0.6,48247
332,SILCOPHL,24.4,-3.17,25.3,24.2,24.4,25.2,-0.8,292,9.47,383223
333,SILVAPHL,22.0,-3.51,22.9,21.9,22.0,22.8,-0.8,286,15.07,679187
334,SIMTEX,19.0,-6.86,20.7,18.8,19.0,20.4,-1.4,831,28.6,1457545
335,SINGERBD,152.0,-0.33,154.9,151.9,152.3,152.8,-0.5,154,5.74,37531
336,SINOBANGLA,57.4,3.05,58.2,55.1,57.4,55.7,1.7,1223,50.87,895753
337,SKICL,47.2,-1.46,48.7,47.1,47.2,47.9,-0.7,396,2.57,53627
338,SKTRIMS,27.3,-6.51,29.2,27.0,27.3,29.2,-1.9,660,19.31,687355
339,SONALIANSH,442.2,-1.05,446.4,442.0,442.2,446.9,-4.7,95,0.65,1454
340,SONALILIFE,55.4,-0.89,56.5,55.1,55.4,55.9,-0.5,331,6.96,124403
341,SONALIPAPR,677.2,1.14,681.0,665.0,677.2,669.6,7.6,2321,289.17,428175
342,SONARBAINS,51.9,-2.44,54.0,51.4,51.9,53.2,-1.3,259,5.54,106159
343,SONARGAON,61.4,-6.97,68.0,59.5,61.4,66.0,-4.6,1629,70.01,1099646
344,SOUTHEASTB,13.9,0.72,14.0,13.8,13.9,13.8,0.1,180,16.15,1161804
345,SPCERAMICS,43.7,-2.24,45.5,43.4,43.7,44.7,-1.0,1725,106.12,2382112
346,SPCL,69.2,-2.39,72.0,69.1,69.4,71.1,-1.7,176,2.87,41167
347,SQUARETEXT,68.0,-2.72,70.0,67.8,68.0,69.9,-1.9,796,35.84,522690
348,SQURPHARMA,213.1,-0.19,215.0,211.3,213.1,213.5,-0.4,656,27.53,129413
349,SSSTEEL,16.8,-2.33,17.3,16.8,16.8,17.2,-0.4,574,16.54,974705
350,STANCERAM,147.0,0.0,147.0,147.0,147.0,147.0,0.0,17,0.22,1471
351,STANDARINS,49.2,0.0,49.2,49.2,49.2,49.2,0.0,2,0.01,100
352,STANDBANKL,8.8,0.0,8.9,8.8,8.8,8.8,0.0,46,1.47,166955
353,STYLECRAFT,105.5,-0.66,107.2,105.5,105.6,106.3,-0.7,349,6.11,57724
